       1948        2010
1948 5859.715
1949 5870.436
1950 5862.053
1951 5878.629
1952 5869.349
1953 5879.193
1954 5867.833
1955 5856.070
1956 5849.371
1957 5868.607
1958 5865.006
1959 5871.516
1960 5860.510
1961 5847.371
1962 5871.441
1963 5855.226
1964 5855.990
1965 5865.382
1966 5856.941
1967 5869.371
1968 5861.285
1969 5872.564
1970 5856.936
1971 5854.436
1972 5859.812
1973 5858.033
1974 5872.424
1975 5859.903
1976 5865.236
1977 5871.338
1978 5874.521
1979 5881.408
1980 5887.919
1981 5868.941
1982 5862.699
1983 5875.360
1984 5869.791
1985 5856.946
1986 5889.748
1987 5872.279
1988 5873.613
1989 5863.850
1990 5864.957
1991 5851.576
1992 5864.527
1993 5869.328
1994 5856.113
1995 5870.404
1996 5867.027
1997 5880.898
1998 5880.957
1999 5863.344
2000 5856.693
2001 5855.070
2002 5861.403
2003 5874.242
2004 5857.129
2005 5871.291
2006 5865.285
2007 5867.752
2008 5872.059
2009 5879.124
2010 -999.999
 -999.9990    
 500mb Pressure Level Geopotential Height (m)
Latitude Range used:   20.0 to  17.5
Longitude Range used: 177.5 to 182.5
NCEP Reanalysis Produced at NOAA/ESRL PSD at http://www.esrl.noaa.gov/psd/data/timeseries/ Date submitted: 10/18/2010 at 18:59
